[05-Mar-2013 21:52:28 UTC] PHP Notice:  Undefined index: zip in D:\workspace\grubhub\classes\KDGService.php on line 303
[05-Mar-2013 22:00:20 UTC] PHP Notice:  Undefined variable: data in D:\workspace\grubhub\classes\crawlers\UpdatePlacesWithServicesCrawler.php on line 50
[05-Mar-2013 22:10:41 UTC] PHP Notice:  Undefined index: zip in D:\workspace\grubhub\classes\KDGService.php on line 302
[05-Mar-2013 22:12:02 UTC] PHP Fatal error:  Can't use function return value in write context in D:\workspace\grubhub\classes\services\YahooService.php on line 51
[05-Mar-2013 22:15:24 UTC] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting ')' in D:\workspace\grubhub\classes\crawlers\UpdatePlacesWithServicesCrawler.php on line 73
[06-Mar-2013 03:36:47 UTC] PHP Warning:  include_once(export.phtml) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in D:\workspace\grubhub\export.php on line 51
[06-Mar-2013 03:36:47 UTC] PHP Warning:  include_once() [<a href='function.include'>function.include</a>]: Failed opening 'export.phtml' for inclusion (include_path='.;D:\Server\php\pear') in D:\workspace\grubhub\export.php on line 51
[06-Mar-2013 03:36:51 UTC] PHP Warning:  include_once(export.phtml) [<a href='function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in D:\workspace\grubhub\export.php on line 51
[06-Mar-2013 03:36:51 UTC] PHP Warning:  include_once() [<a href='function.include'>function.include</a>]: Failed opening 'export.phtml' for inclusion (include_path='.;D:\Server\php\pear') in D:\workspace\grubhub\export.php on line 51
[06-Mar-2013 03:37:11 UTC] PHP Notice:  Undefined variable: books in D:\workspace\grubhub\tpl\form.phtml on line 14
[06-Mar-2013 03:38:57 UTC] PHP Notice:  Undefined variable: states in D:\workspace\grubhub\tpl\form.phtml on line 6
[06-Mar-2013 03:48:26 UTC] PHP Notice:  Undefined variable: states in D:\workspace\grubhub\tpl\form.phtml on line 5
[08-Jan-2015 21:45:29 Europe/Kiev] PHP Warning:  require_once(/home4/brembul/alexandar/classes/KDGLoader.php): failed to open stream: No such file or directory in D:\workspace\alexandar\include\config.php on line 7
[08-Jan-2015 21:45:29 Europe/Kiev] PHP Fatal error:  require_once(): Failed opening required '/home4/brembul/alexandar/classes/KDGLoader.php' (include_path='.;D:\Server\php\pear') in D:\workspace\alexandar\include\config.php on line 7
[08-Jan-2015 21:52:03 Europe/Kiev] PHP Fatal error:  Call to undefined method simple_html_dom_node::toHtml() in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 115
[08-Jan-2015 22:43:52 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:43:55 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:01 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:03 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:06 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:35 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:36 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:38 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:44:39 Europe/Kiev] PHP Notice:  iconv(): Detected an illegal character in input string in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:46:08 Europe/Kiev] PHP Warning:  preg_replace():  in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:46:13 Europe/Kiev] PHP Warning:  preg_replace():  in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:46:14 Europe/Kiev] PHP Warning:  preg_replace():  in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:46:19 Europe/Kiev] PHP Warning:  preg_replace():  in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:48:12 Europe/Kiev] PHP Warning:  mb_strpos() expects parameter 2 to be string, array given in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[08-Jan-2015 22:48:19 Europe/Kiev] PHP Warning:  mb_strpos() expects parameter 2 to be string, array given in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 35
[09-Jan-2015 00:16:36 Europe/Kiev] PHP Notice:  iconv(): Wrong charset, conversion from `UTF-8' to `UTF-8//GNORE' is not allowed in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 33
[09-Jan-2015 00:16:36 Europe/Kiev] PHP Fatal error:  Call to a member function innertext() on a non-object in D:\workspace\alexandar\classes\vendor\SimpleHtmlDom\simple_html_dom.php on line 1364
[09-Jan-2015 12:34:16 Europe/Kiev] PHP Warning:  DOMDocument::loadHTML(): Empty string supplied as input in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 41
[09-Jan-2015 12:42:20 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): Entity: line 1: parser error : Opening and ending tag mismatch: img line 1 and a in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:20 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): fe-1000-9115-d802415608fc/1033/boxartsm.jpg&quot; title=&quot;Call of Duty®: Ghosts&quot;&gt;&lt;/a&gt; in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:20 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct():                                                                                ^ in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:20 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): Entity: line 1: parser error : Premature end of data in tag a line 1 in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:20 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): fe-1000-9115-d802415608fc/1033/boxartsm.jpg&quot; title=&quot;Call of Duty®: Ghosts&quot;&gt;&lt;/a&gt; in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:21 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct():                                                                                ^ in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:21 Europe/Kiev] PHP Fatal error:  Uncaught exception 'Exception' with message 'String could not be parsed as XML' in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php:47
